HH 30y or less,HH Female Married,HH 65y or more,HH Female Widow,HH Disabled or chronically ill,HH Minimal education,HH Advanced education,HH Intermediate education,Working age members,Disabled working age members,HH Size,HH Size_sq,Dependency ratio,Owns a car,HH lives in rural area,Governorate_Mafraq,Governorate_Amman,Governorate_Tafila,Governorate_Zarqa,Governorate_Balqa,Governorate_Maan,Governorate_Aqaba,Governorate_Karak,Governorate_Jerash,Governorate_Madaba,Governorate_Ajloun,SCORE,id_transfer,weights,caseser
0,0,0,0,0,1,0,0,2,0,7,49,2.5,0,1,0,0,0,0,1,0,0,0,0,0,0,4.671725915,103,143.3838286,1207565
0,0,0,0,1,1,0,0,4,0.25,9,81,1.25,0,1,1,0,0,0,0,0,0,0,0,0,0,4.386912415,104,227.0570089,2217555
0,0,0,0,0,1,0,0,2,0,7,49,2.5,0,1,0,0,0,0,0,0,1,0,0,0,0,3.889700304,105,47.86150594,3424411
0,0,0,0,0,1,0,0,3,0,9,81,2,0,0,0,0,0,0,0,0,0,1,0,0,0,4.284087718,106,227.1839946,3119865
0,0,0,0,0,0,0,1,2,0,9,81,3.5,0,0,0,0,0,0,0,0,0,0,1,0,0,4.504358379,107,356.9473534,2318109
0,0,0,0,0,0,0,0,3,0,8,64,1.67,0,0,0,0,1,0,0,0,0,0,0,0,0,4.086090114,108,67.76651336,3222299
0,0,0,0,0,1,0,0,8,0,15,225,0.88,1,0,0,1,0,0,0,0,0,0,0,0,0,4.765605801,109,353.0435644,1103411
0,0,0,0,0,0,0,1,3,0,9,81,2,0,1,1,0,0,0,0,0,0,0,0,0,0,4.194574824,110,77.11937511,2217029
0,0,0,0,0,0,0,0,2,0,7,49,2.5,0,1,0,0,0,0,0,0,0,0,0,1,0,4.432208665,111,57.64434444,1411719
0,0,0,0,0,1,0,0,8,0,13,169,0.62,0,0,0,0,0,0,0,0,0,0,0,1,0,4.624268675,112,239.371942,1411405
0,0,0,0,0,1,0,0,3,0,9,81,2,0,1,0,0,0,0,0,1,0,0,0,0,0,4.109480058,113,37.42963796,3323201
0,0,0,0,0,1,0,0,6,0,11,121,0.83,0,1,1,0,0,0,0,0,0,0,0,0,0,4.273343914,114,212.0782816,2217019
0,0,0,0,0,0,1,0,3,0,10,100,2.33,1,1,0,0,1,0,0,0,0,0,0,0,0,4.266925366,115,44.55880331,3222075
0,0,0,0,0,0,0,0,5,0,9,81,0.8,0,1,1,0,0,0,0,0,0,0,0,0,0,4.586839289,116,70.25770973,2217405
0,0,0,0,1,0,0,0,5,0.2,9,81,0.8,0,0,0,0,0,0,0,0,1,0,0,0,0,5.21254606,117,343.3759442,3424251
0,0,0,0,0,1,0,0,2,0,7,49,2.5,0,1,1,0,0,0,0,0,0,0,0,0,0,4.292336687,118,83.71852064,2217629
