HH 30y or less,HH Female Married,HH 65y or more,HH Female Widow,HH Disabled or chronically ill,HH Minimal education,HH Advanced education,HH Intermediate education,Working age members,Disabled working age members,HH Size,HH Size_sq,Dependency ratio,Owns a car,HH lives in rural area,Governorate_Mafraq,Governorate_Amman,Governorate_Tafila,Governorate_Zarqa,Governorate_Balqa,Governorate_Maan,Governorate_Aqaba,Governorate_Karak,Governorate_Jerash,Governorate_Madaba,Governorate_Ajloun,SCORE,id_transfer
1,0,0,0,0,0,0,0,2,0,7,49,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0,3.732479301,104
0,0,0,0,1,0,0,0,2,0.5,8,64,3,1,0,0,1,0,0,0,0,0,0,0,0,0,3.732672032,105
0,0,0,0,0,1,0,0,4,0,11,121,1.75,0,0,0,1,0,0,0,0,0,0,0,0,0,3.737191149,106
0,0,0,0,1,1,0,0,2,0,9,81,3.5,0,1,0,0,0,0,0,0,0,1,0,0,0,3.575436985,107
0,0,0,0,0,0,1,0,2,0,9,81,3.5,0,0,0,0,0,1,0,0,0,0,0,0,0,3.622187505,108
0,0,0,0,1,1,0,0,2,0,8,64,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3.743536304,109
0,0,0,0,1,1,0,0,2,0,8,64,3,1,0,0,1,0,0,0,0,0,0,0,0,0,3.74627829,110
0,0,0,0,0,0,1,0,4,0,10,100,1.5,0,1,1,0,0,0,0,0,0,0,0,0,0,3.746685991,111
1,0,0,0,0,0,1,0,2,0,6,36,2,0,1,1,0,0,0,0,0,0,0,0,0,0,3.748083459,112
0,0,0,0,0,0,1,0,1,0,6,36,5,0,1,0,0,0,1,0,0,0,0,0,0,0,3.748880352,113
0,0,0,0,0,1,0,0,3,0,8,64,1.67,0,1,1,0,0,0,0,0,0,0,0,0,0,3.739857699,114
0,0,0,0,0,0,1,0,1,0,6,36,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.651765853,115
0,0,0,0,0,1,0,0,2,0,8,64,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3.751584264,116
0,0,0,0,0,0,1,0,2,0,6,36,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3.754347231,117
0,0,0,0,1,1,0,0,4,0,9,81,1.25,0,0,0,0,0,0,1,0,0,0,0,0,0,3.754479911,118
0,0,0,0,0,1,0,0,1,0,6,36,5,0,0,0,0,0,0,0,0,0,0,1,0,0,3.755010457,119
0,0,0,0,0,1,0,0,1,0,6,36,5,0,0,0,1,0,0,0,0,0,0,0,0,0,3.538274564,120
0,0,0,0,1,0,1,0,2,0.5,7,49,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.724474096,121
0,0,0,0,0,1,0,0,2,0,7,49,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,3.668516384,122
0,0,0,0,0,0,1,0,2,0,7,49,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,3.655341137,123
0,0,0,0,0,0,1,0,2,0,8,64,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3.757947739,124
0,0,0,0,0,1,0,0,2,0,8,64,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.758522114,125
0,0,0,0,0,1,0,0,2,0,8,64,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3.759425286,126
0,0,0,0,1,1,0,0,2,0,8,64,3,0,0,0,0,0,0,0,0,0,0,0,1,0,3.759498087,127
0,0,0,0,1,1,0,0,2,0,7,49,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,3.762169745,128
0,0,0,0,1,1,0,0,3,0,9,81,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3.762468045,129
0,0,0,0,0,0,1,0,3,0,8,64,1.67,0,0,0,0,0,0,1,0,0,0,0,0,0,3.763728892,130
0,0,0,0,0,0,1,0,2,0,6,36,2,0,1,1,0,0,0,0,0,0,0,0,0,0,3.763913485,131
0,0,0,0,1,0,0,0,3,0,6,36,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3.764334733,132
0,0,0,0,0,0,0,0,2,0,7,49,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0,3.764742009,133
0,0,0,0,0,0,0,0,4,0,9,81,1.25,0,1,0,0,0,0,1,0,0,0,0,0,0,3.764749365,134
0,0,0,0,0,1,0,0,5,0,9,81,0.8,0,0,0,0,0,0,0,0,0,1,0,0,0,3.765431461,135
0,0,0,0,0,0,1,0,3,0,9,81,2,0,1,0,0,0,0,0,0,0,0,0,1,0,3.76546491,136
0,0,0,0,1,1,0,0,3,0,7,49,1.33,0,0,0,0,0,0,0,0,0,1,0,0,0,3.76625377,137
0,0,0,0,0,1,0,0,2,0,6,36,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3.766723593,138
0,0,0,0,0,0,1,0,2,0,8,64,3,0,0,0,0,0,0,0,0,1,0,0,0,0,3.767346883,139
0,0,0,0,0,1,0,0,2,0,6,36,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3.768772151,140
0,0,0,0,0,1,0,0,2,0,7,49,2.5,0,1,0,0,0,0,0,0,0,0,0,0,0,3.76904633,141
0,0,0,0,1,1,0,0,2,0,7,49,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0,3.769464872,142
0,0,0,0,1,0,1,0,3,0.333,8,64,1.67,0,0,0,0,0,0,0,0,0,0,0,1,0,3.773048253,143
0,0,0,0,1,0,1,0,2,0,8,64,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3.773091343,144
0,0,0,0,0,1,0,0,1,0,5,25,4,0,0,0,0,0,0,1,0,0,0,0,0,0,3.774635043,145
0,0,0,0,0,1,0,0,2,0,9,81,3.5,1,1,0,0,0,1,0,0,0,0,0,0,0,3.77538839,146
0,0,0,0,0,0,0,0,2,0,7,49,2.5,0,0,0,0,0,0,0,0,0,0,1,0,0,3.777063655,147
0,0,0,0,1,1,0,0,2,0.5,8,64,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3.777448212,148
0,0,0,0,0,1,0,0,2,0,8,64,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3.777894292,149
0,0,0,0,0,0,0,0,2,0,8,64,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3.697625471,150
0,0,0,0,0,0,0,0,2,0,7,49,2.5,0,1,0,0,0,0,1,0,0,0,0,0,0,3.782334017,151
0,0,0,0,1,0,1,0,2,0,8,64,3,0,0,0,0,0,0,0,0,0,0,0,1,0,3.783368274,152
0,0,0,0,1,1,0,0,1,1,5,25,4,0,0,0,1,0,0,0,0,0,0,0,0,0,3.752820922,153
0,0,0,0,0,0,0,0,1,0,5,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3.686661997,154
0,0,0,0,0,0,1,0,1,0,5,25,4,0,0,0,0,0,0,1,0,0,0,0,0,0,3.777956613,155
0,0,1,0,1,0,0,1,2,0,8,64,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3.785282786,156
0,0,0,0,0,0,0,0,2,0,6,36,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3.785612863,157
0,0,0,0,1,0,1,0,4,0.25,11,121,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,3.786931739,158
0,0,0,0,0,1,0,0,2,0,8,64,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3.787714664,159
0,0,0,0,1,1,0,0,5,0,11,121,1.2,0,1,1,0,0,0,0,0,0,0,0,0,0,3.788327754,160
0,0,0,0,0,1,0,0,4,0,9,81,1.25,0,1,1,0,0,0,0,0,0,0,0,0,0,3.789179688,161
0,0,0,0,1,1,0,0,2,0,7,49,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,3.79004583,162
0,0,0,0,1,1,0,0,1,0,5,25,4,0,1,1,0,0,0,0,0,0,0,0,0,0,3.790099409,163
0,0,0,0,1,1,0,0,1,0,6,36,5,0,0,0,0,0,1,0,0,0,0,0,0,0,3.790115225,164
0,0,0,0,0,1,0,0,2,0,8,64,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.790984677,165
0,0,0,0,1,1,0,0,5,0.2,10,100,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.791769922,166
0,0,0,0,1,1,0,0,2,0.5,8,64,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3.791813904,167
0,0,0,0,0,1,0,0,4,0,9,81,1.25,0,0,0,1,0,0,0,0,0,0,0,0,0,3.791979918,168
0,0,0,0,0,0,1,0,2,0,6,36,2,0,1,1,0,0,0,0,0,0,0,0,0,0,3.793430893,169
0,0,0,0,0,1,0,0,2,0,9,81,3.5,0,0,0,0,0,1,0,0,0,0,0,0,0,3.788156503,170
0,0,0,0,0,1,0,0,2,0,6,36,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3.794803561,171
0,0,0,0,0,0,1,0,1,0,6,36,5,0,0,0,1,0,0,0,0,0,0,0,0,0,3.795380569,172
0,0,0,0,0,1,0,0,1,0,7,49,6,0,0,0,0,0,1,0,0,0,0,0,0,0,3.430219748,173
0,0,0,0,1,1,0,0,4,0.5,9,81,1.25,0,0,0,0,0,0,1,0,0,0,0,0,0,3.798443622,174
0,0,0,0,0,1,0,0,2,0,7,49,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0,3.799004672,175
0,0,0,0,0,1,0,0,2,0,6,36,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3.799656524,176
0,0,0,0,0,1,0,0,2,0,8,64,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3.80002104,177
0,0,0,0,0,1,0,0,2,0,6,36,2,0,1,0,0,0,0,1,0,0,0,0,0,0,3.720801965,178
0,0,0,0,0,1,0,0,2,0,8,64,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3.600246308,179
0,0,0,0,1,1,0,0,2,0,8,64,3,0,0,0,0,0,0,0,0,0,1,0,0,0,3.801395868,180
0,0,0,0,0,0,1,0,4,0,8,64,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3.803532597,181
0,0,0,0,1,1,0,0,1,0,5,25,4,0,0,0,1,0,0,0,0,0,0,0,0,0,3.711946356,182
0,0,0,0,0,1,0,0,2,0,8,64,3,0,1,0,0,0,1,0,0,0,0,0,0,0,3.805083466,183
0,0,0,0,0,0,0,0,2,0,6,36,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3.80529118,184
0,0,0,0,0,0,0,0,2,0,7,49,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0,3.8061576,185
0,0,0,0,0,1,0,0,1,0,6,36,5,0,1,0,0,0,1,0,0,0,0,0,0,0,3.624696425,186
0,0,0,0,0,1,0,0,2,0,7,49,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,3.779767533,187
0,0,0,0,0,1,0,0,2,0,6,36,2,0,1,0,0,0,0,1,0,0,0,0,0,0,3.765080175,188
0,0,0,0,1,1,0,0,2,0,7,49,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0,3.80851791,189
0,0,0,0,1,0,0,0,2,0,6,36,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3.810650822,190
0,0,0,0,1,1,0,0,3,0.667,10,100,2.33,0,0,0,0,0,0,0,1,0,0,0,0,0,3.592159281,191
0,0,0,0,0,0,1,0,2,0,8,64,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3.811650031,192
0,0,0,0,0,0,1,0,2,0,8,64,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3.81215847,193
0,0,0,0,0,1,0,0,2,0,8,64,3,0,1,0,0,0,1,0,0,0,0,0,0,0,3.812462305,194
0,0,1,0,0,0,0,0,9,0,12,144,0.33,0,0,0,1,0,0,0,0,0,0,0,0,0,3.813457867,195
0,0,0,0,0,0,0,0,2,0,5,25,1.5,0,0,0,0,0,0,0,0,0,1,0,0,0,3.814696795,196
0,0,0,0,1,1,0,0,2,0,7,49,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,3.814753479,197
0,0,0,0,0,0,0,0,4,0,14,196,2.5,1,0,0,1,0,0,0,0,0,0,0,0,0,3.814836924,198
0,0,0,0,0,1,0,0,2,0,7,49,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0,3.815873902,199
0,0,0,0,0,0,1,0,2,0,7,49,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0,3.81678568,200
0,0,0,0,0,0,1,0,2,0,7,49,2.5,0,0,0,0,0,0,0,0,1,0,0,0,0,3.817294656,201
0,0,0,0,1,0,0,0,4,0,9,81,1.25,1,1,1,0,0,0,0,0,0,0,0,0,0,3.804690176,202
0,0,0,0,0,1,0,0,2,0,6,36,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3.818137144,203
0,0,0,0,0,1,0,0,2,0,6,36,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3.818137144,204
0,0,0,0,1,1,0,0,4,0.25,9,81,1.25,0,0,0,1,0,0,0,0,0,0,0,0,0,3.818781351,205
0,0,0,0,1,1,0,0,2,0,7,49,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0,3.818917251,206
0,0,0,0,0,1,0,0,2,0,10,100,4,0,0,0,1,0,0,0,0,0,0,0,0,0,3.818990629,207
0,0,0,0,0,1,0,0,2,0,6,36,2,0,1,0,0,0,0,0,0,1,0,0,0,0,3.819549465,208
0,0,0,0,0,1,0,0,2,0,7,49,2.5,0,1,1,0,0,0,0,0,0,0,0,0,0,3.756588168,209
0,0,0,0,0,1,0,0,2,0,7,49,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.820991089,210
0,0,0,0,0,0,1,0,2,0,7,49,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0,3.821003607,211
0,0,0,0,0,0,0,1,2,0,7,49,2.5,0,0,0,0,0,0,0,1,0,0,0,0,0,3.821601144,212
0,0,0,0,1,0,0,0,2,0,7,49,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.744834366,213
